time,entity_id,entity_name,node_id,node_name,event_type
0.00,0,同时释放占用J1发生器-hold_joint_j1-0,Event_start_hold_joint_j1,同时释放占用J1发生器,entity_generated
0.00,1,同时释放占用J2发生器-hold_joint_j2-0,Event_start_hold_joint_j2,同时释放占用J2发生器,entity_generated
0.00,2,部分释放占用P1发生器-hold_partial_r1-0,Event_start_hold_partial_r1,部分释放占用P1发生器,entity_generated
0.00,3,部分释放占用P2发生器-hold_partial_r2-0,Event_start_hold_partial_r2,部分释放占用P2发生器,entity_generated
0.00,4,同时释放等待全部发生器-joint_all-0,Event_start_wait_joint_all,同时释放等待全部发生器,entity_generated
0.00,5,同时释放等待J1发生器-joint_j1-0,Event_start_wait_joint_j1,同时释放等待J1发生器,entity_generated
0.00,6,部分释放等待全部发生器-partial_all-0,Event_start_wait_partial_all,部分释放等待全部发生器,entity_generated
0.00,7,部分释放等待P1发生器-partial_p1-0,Event_start_wait_partial_p1,部分释放等待P1发生器,entity_generated
0.00,0,同时释放占用J1发生器-hold_joint_j1-0,Task_hold_joint_j1,占用J1任务,task_arrive
0.00,0,同时释放占用J1发生器-hold_joint_j1-0,Task_hold_joint_j1,占用J1任务,task_start
0.00,1,同时释放占用J2发生器-hold_joint_j2-0,Task_hold_joint_j2,占用J2任务,task_arrive
0.00,1,同时释放占用J2发生器-hold_joint_j2-0,Task_hold_joint_j2,占用J2任务,task_start
0.00,2,部分释放占用P1发生器-hold_partial_r1-0,Task_hold_partial_r1,占用P1任务,task_arrive
0.00,2,部分释放占用P1发生器-hold_partial_r1-0,Task_hold_partial_r1,占用P1任务,task_start
0.00,3,部分释放占用P2发生器-hold_partial_r2-0,Task_hold_partial_r2,占用P2任务,task_arrive
0.00,3,部分释放占用P2发生器-hold_partial_r2-0,Task_hold_partial_r2,占用P2任务,task_start
0.00,4,同时释放等待全部发生器-joint_all-0,Task_delay_joint_all,延迟到达全部J资源任务,task_arrive
0.00,4,同时释放等待全部发生器-joint_all-0,Task_delay_joint_all,延迟到达全部J资源任务,task_start
0.00,5,同时释放等待J1发生器-joint_j1-0,Task_delay_joint_j1,延迟到达J1任务,task_arrive
0.00,5,同时释放等待J1发生器-joint_j1-0,Task_delay_joint_j1,延迟到达J1任务,task_start
0.00,6,部分释放等待全部发生器-partial_all-0,Task_delay_partial_all,延迟到达全部资源任务,task_arrive
0.00,6,部分释放等待全部发生器-partial_all-0,Task_delay_partial_all,延迟到达全部资源任务,task_start
0.00,7,部分释放等待P1发生器-partial_p1-0,Task_delay_partial_p1,延迟到达P1任务,task_arrive
0.00,7,部分释放等待P1发生器-partial_p1-0,Task_delay_partial_p1,延迟到达P1任务,task_start
1.00,4,同时释放等待全部发生器-joint_all-0,Task_delay_joint_all,延迟到达全部J资源任务,task_finish
1.00,6,部分释放等待全部发生器-partial_all-0,Task_delay_partial_all,延迟到达全部资源任务,task_finish
1.00,4,同时释放等待全部发生器-joint_all-0,Task_need_joint_all,需要J1和J2任务,task_arrive
1.00,4,同时释放等待全部发生器-joint_all-0,Task_need_joint_all,需要J1和J2任务,task_waiting_for_resources
1.00,6,部分释放等待全部发生器-partial_all-0,Task_need_partial_all,需要P1和P2任务,task_arrive
1.00,6,部分释放等待全部发生器-partial_all-0,Task_need_partial_all,需要P1和P2任务,task_waiting_for_resources
2.00,5,同时释放等待J1发生器-joint_j1-0,Task_delay_joint_j1,延迟到达J1任务,task_finish
2.00,7,部分释放等待P1发生器-partial_p1-0,Task_delay_partial_p1,延迟到达P1任务,task_finish
2.00,5,同时释放等待J1发生器-joint_j1-0,Task_need_joint_j1,只需要J1任务,task_arrive
2.00,5,同时释放等待J1发生器-joint_j1-0,Task_need_joint_j1,只需要J1任务,task_waiting_for_resources
2.00,7,部分释放等待P1发生器-partial_p1-0,Task_need_partial_p1,只需要P1任务,task_arrive
2.00,7,部分释放等待P1发生器-partial_p1-0,Task_need_partial_p1,只需要P1任务,task_waiting_for_resources
4.00,0,同时释放占用J1发生器-hold_joint_j1-0,Task_hold_joint_j1,占用J1任务,task_finish
4.00,1,同时释放占用J2发生器-hold_joint_j2-0,Task_hold_joint_j2,占用J2任务,task_finish
4.00,2,部分释放占用P1发生器-hold_partial_r1-0,Task_hold_partial_r1,占用P1任务,task_finish
4.00,0,同时释放占用J1发生器-hold_joint_j1-0,Event_end_hold_joint_j1,占用J1结束,entity_exit
4.00,1,同时释放占用J2发生器-hold_joint_j2-0,Event_end_hold_joint_j2,占用J2结束,entity_exit
4.00,2,部分释放占用P1发生器-hold_partial_r1-0,Event_end_hold_partial_r1,占用P1结束,entity_exit
4.00,4,同时释放等待全部发生器-joint_all-0,Task_need_joint_all,需要J1和J2任务,task_start
4.00,7,部分释放等待P1发生器-partial_p1-0,Task_need_partial_p1,只需要P1任务,task_start
5.00,4,同时释放等待全部发生器-joint_all-0,Task_need_joint_all,需要J1和J2任务,task_finish
5.00,7,部分释放等待P1发生器-partial_p1-0,Task_need_partial_p1,只需要P1任务,task_finish
5.00,4,同时释放等待全部发生器-joint_all-0,Event_end_need_joint_all,J1和J2结束,entity_exit
5.00,7,部分释放等待P1发生器-partial_p1-0,Event_end_need_partial_p1,P1结束,entity_exit
5.00,5,同时释放等待J1发生器-joint_j1-0,Task_need_joint_j1,只需要J1任务,task_start
6.00,3,部分释放占用P2发生器-hold_partial_r2-0,Task_hold_partial_r2,占用P2任务,task_finish
6.00,5,同时释放等待J1发生器-joint_j1-0,Task_need_joint_j1,只需要J1任务,task_finish
6.00,3,部分释放占用P2发生器-hold_partial_r2-0,Event_end_hold_partial_r2,占用P2结束,entity_exit
