time,task_id,task_name,waiting,running,completed
0.00,Task_hold_joint_j1,占用J1任务,0,1,0
0.00,Task_hold_joint_j2,占用J2任务,0,1,0
0.00,Task_hold_partial_r1,占用P1任务,0,1,0
0.00,Task_hold_partial_r2,占用P2任务,0,1,0
0.00,Task_delay_joint_all,延迟到达全部J资源任务,0,1,0
0.00,Task_delay_joint_j1,延迟到达J1任务,0,1,0
0.00,Task_delay_partial_all,延迟到达全部资源任务,0,1,0
0.00,Task_delay_partial_p1,延迟到达P1任务,0,1,0
1.00,Task_delay_joint_all,延迟到达全部J资源任务,0,0,1
1.00,Task_delay_partial_all,延迟到达全部资源任务,0,0,1
1.00,Task_need_joint_all,需要J1和J2任务,1,0,0
1.00,Task_need_partial_all,需要P1和P2任务,1,0,0
2.00,Task_delay_joint_j1,延迟到达J1任务,0,0,1
2.00,Task_delay_partial_p1,延迟到达P1任务,0,0,1
2.00,Task_need_joint_j1,只需要J1任务,1,0,0
2.00,Task_need_partial_p1,只需要P1任务,1,0,0
4.00,Task_hold_joint_j1,占用J1任务,0,0,1
4.00,Task_hold_joint_j2,占用J2任务,0,0,1
4.00,Task_hold_partial_r1,占用P1任务,0,0,1
4.00,Task_need_joint_all,需要J1和J2任务,0,1,0
4.00,Task_need_partial_p1,只需要P1任务,0,1,0
5.00,Task_need_joint_all,需要J1和J2任务,0,0,1
5.00,Task_need_partial_p1,只需要P1任务,0,0,1
5.00,Task_need_joint_j1,只需要J1任务,0,1,0
6.00,Task_hold_partial_r2,占用P2任务,0,0,1
6.00,Task_need_joint_j1,只需要J1任务,0,0,1
6.00,Task_need_partial_all,需要P1和P2任务,0,1,0
7.00,Task_need_partial_all,需要P1和P2任务,0,0,1
