time,task_id,task_name,arrived,waiting,running,completed
0.00,Task_delay_all_arrival,延迟到达全部释放,1,0,1,0
0.00,Task_acquire_subset,获取两种资源,1,0,1,0
0.00,Task_acquire_subset,获取两种资源,1,0,0,1
0.00,Task_hold_subset,持有两种资源,1,0,1,0
3.00,Task_hold_subset,持有两种资源,1,0,0,1
3.00,Task_release_bound,只释放叉车,1,0,1,0
3.00,Task_release_bound,只释放叉车,1,0,0,1
3.00,Task_hold_driver,继续持有司机,1,0,1,0
5.00,Task_hold_driver,继续持有司机,1,0,0,1
5.00,Task_release_all_remaining,释放剩余资源,1,0,1,0
5.00,Task_release_all_remaining,释放剩余资源,1,0,0,1
10.00,Task_delay_all_arrival,延迟到达全部释放,1,0,0,1
10.00,Task_acquire_all,再次获取两种资源,1,0,1,0
10.00,Task_acquire_all,再次获取两种资源,1,0,0,1
10.00,Task_hold_all,再次持有两种资源,1,0,1,0
13.00,Task_hold_all,再次持有两种资源,1,0,0,1
13.00,Task_release_all,释放全部资源,1,0,1,0
13.00,Task_release_all,释放全部资源,1,0,0,1
