time,task_id,task_name,arrived,waiting,running,completed
1.00,Activity_combine_inner,内层合并,1,0,1,0
1.00,Activity_combine_inner,内层合并,1,0,0,1
3.00,Activity_combine_inner,内层合并,2,0,1,1
3.00,Activity_combine_inner,内层合并,2,0,0,2
3.00,Activity_combine_outer,外层合并,1,0,1,0
3.00,Activity_combine_outer,外层合并,1,0,0,1
3.00,Activity_restore_outer,外层还原,1,0,1,0
3.00,Activity_restore_outer,外层还原,1,0,0,1
3.00,Activity_restore_inner,内层还原,1,0,1,0
3.00,Activity_restore_inner,内层还原,2,0,2,0
3.00,Activity_restore_inner,内层还原,2,0,1,1
3.00,Activity_restore_inner,内层还原,2,0,0,2
