time,entity_id,entity_type,node_id,node_name,node_type,event_type
0.000,占用R1发生器_hold_r1_0,hold_r1,Event_start_hold_r1,占用R1发生器,StartEvent,entity_generated
0.000,占用R2发生器_hold_r2_1,hold_r2,Event_start_hold_r2,占用R2发生器,StartEvent,entity_generated
0.000,等待全部资源发生器_all_case_2,all_case,Event_start_wait_all,等待全部资源发生器,StartEvent,entity_generated
0.000,等待R1发生器_r1_case_3,r1_case,Event_start_wait_r1,等待R1发生器,StartEvent,entity_generated
0.000,占用R1发生器_hold_r1_0,hold_r1,Task_hold_r1,占用R1任务,Task,task_arrive
0.000,占用R1发生器_hold_r1_0,hold_r1,Task_hold_r1,占用R1任务,Task,task_start
0.000,占用R2发生器_hold_r2_1,hold_r2,Task_hold_r2,占用R2任务,Task,task_arrive
0.000,占用R2发生器_hold_r2_1,hold_r2,Task_hold_r2,占用R2任务,Task,task_start
0.000,等待全部资源发生器_all_case_2,all_case,Task_delay_all,延迟到达全部资源任务,Task,task_arrive
0.000,等待全部资源发生器_all_case_2,all_case,Task_delay_all,延迟到达全部资源任务,Task,task_start
0.000,等待R1发生器_r1_case_3,r1_case,Task_delay_r1,延迟到达R1任务,Task,task_arrive
0.000,等待R1发生器_r1_case_3,r1_case,Task_delay_r1,延迟到达R1任务,Task,task_start
1.000,等待全部资源发生器_all_case_2,all_case,Task_delay_all,延迟到达全部资源任务,Task,task_finish
1.000,等待全部资源发生器_all_case_2,all_case,Task_need_all,需要全部资源任务,Task,task_arrive
1.000,等待全部资源发生器_all_case_2,all_case,Task_need_all,需要全部资源任务,Task,task_waiting_for_resources
2.000,等待R1发生器_r1_case_3,r1_case,Task_delay_r1,延迟到达R1任务,Task,task_finish
2.000,等待R1发生器_r1_case_3,r1_case,Task_need_r1,只需要R1任务,Task,task_arrive
2.000,等待R1发生器_r1_case_3,r1_case,Task_need_r1,只需要R1任务,Task,task_waiting_for_resources
4.000,占用R1发生器_hold_r1_0,hold_r1,Task_hold_r1,占用R1任务,Task,task_finish
4.000,占用R2发生器_hold_r2_1,hold_r2,Task_hold_r2,占用R2任务,Task,task_finish
4.000,占用R1发生器_hold_r1_0,hold_r1,Event_end_hold_r1,占用R1结束,EndEvent,entity_exit
4.000,占用R2发生器_hold_r2_1,hold_r2,Event_end_hold_r2,占用R2结束,EndEvent,entity_exit
4.000,等待全部资源发生器_all_case_2,all_case,Task_need_all,需要全部资源任务,Task,task_start
5.000,等待全部资源发生器_all_case_2,all_case,Task_need_all,需要全部资源任务,Task,task_finish
5.000,等待全部资源发生器_all_case_2,all_case,Event_end_need_all,全部资源结束,EndEvent,entity_exit
5.000,等待R1发生器_r1_case_3,r1_case,Task_need_r1,只需要R1任务,Task,task_start
6.000,等待R1发生器_r1_case_3,r1_case,Task_need_r1,只需要R1任务,Task,task_finish
6.000,等待R1发生器_r1_case_3,r1_case,Event_end_need_r1,R1结束,EndEvent,entity_exit
