time,entity_id,entity_name,node_id,node_name,event_type
0.00,Event_start_package_0,运输发生器-package-0,Event_start,运输发生器,entity_generated
0.00,Event_start_package_0,运输发生器-package-0,Task_transport,运输任务,task_arrive
0.00,Event_start_package_0,运输发生器-package-0,Task_transport,运输任务,task_start
1.00,Event_start_package_1,运输发生器-package-1,Event_start,运输发生器,entity_generated
1.00,Event_start_package_1,运输发生器-package-1,Task_transport,运输任务,task_arrive
1.00,Event_start_package_1,运输发生器-package-1,Task_transport,运输任务,task_start
2.00,Event_start_package_2,运输发生器-package-2,Event_start,运输发生器,entity_generated
2.00,Event_start_package_0,运输发生器-package-0,Task_transport,运输任务,task_finish
2.00,Event_start_package_2,运输发生器-package-2,Task_transport,运输任务,task_arrive
2.00,Event_start_package_2,运输发生器-package-2,Task_transport,运输任务,task_start
2.00,Event_start_package_0,运输发生器-package-0,Event_end,结束,entity_exit
3.00,Event_start_package_1,运输发生器-package-1,Task_transport,运输任务,task_finish
3.00,Event_start_package_1,运输发生器-package-1,Event_end,结束,entity_exit
4.00,Event_start_package_2,运输发生器-package-2,Task_transport,运输任务,task_finish
4.00,Event_start_package_2,运输发生器-package-2,Event_end,结束,entity_exit
